Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United Arab Emirates,ARE,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Rural poverty gap at national poverty lines (%),SI.POV.RUGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty gap at national poverty lines (%),SI.POV.NAGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.3480861,461.5849132,839.9034333,849.6263369,902.2366245,826.543645,810.5551804,795.2440077,731.1659476,633.1312785,648.7423615,590.7414027,579.8711913,653.598517,711.7014169,697.3906454,,
United Arab Emirates,ARE,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.6886618,177.4069721,329.923674,340.5445794,381.8751829,394.9404461,420.69414,452.460818,483.6147592,352.501981,396.0993866,409.2643569,395.7808381,436.206934,468.259805,403.0528645,,
United Arab Emirates,ARE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16953942,22.98960323,38.77114783,38.72491793,42.89268742,43.1589391,42.69578249,41.3262963,36.08961121,26.31716535,29.14584026,27.57902646,27.45520828,28.02826424,29.02361599,28.74894452,,
United Arab Emirates,ARE,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.8855452,302.8951299,607.4661215,602.4061917,639.6324353,577.2004015,564.0199985,555.6671676,509.2591907,387.3383408,399.4451498,361.6552569,353.5340215,400.0605116,436.6738946,431.5405522,,
United Arab Emirates,ARE,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6519782,116.4156504,238.6196397,241.4545716,270.7269319,275.7988467,292.7375137,316.1515444,336.8390743,215.6543786,243.887232,250.5539741,241.2984011,266.9974987,287.3070474,249.4063505,,
United Arab Emirates,ARE,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08343466,15.08593253,28.04150794,27.45692938,30.40837998,30.13919123,29.70960616,28.87625155,25.13651827,16.10036892,17.94574429,16.88403734,16.73880396,17.15579433,17.80782661,17.78964985,,
United Arab Emirates,ARE,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.766226,1546.213606,1326.407033,1344.377891,1201.237601,1088.572116,1087.888022,1129.061045,1294.80752,1772.641798,1577.106527,1551.253723,1532.191429,1678.327968,1740.444509,1728.405004,,
United Arab Emirates,ARE,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.1280296,594.2765161,521.0278518,538.849355,508.4285166,520.1433218,564.6353596,642.3888505,856.4239473,986.9355164,962.9260629,1074.7052,1045.770193,1120.103975,1145.115335,998.9216123,,
United Arab Emirates,ARE,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56610482,7.5835771,7.80031383,8.08750451,7.94020659,8.37682297,8.52716219,8.52688609,8.52666845,8.52688914,8.52679053,8.52676681,8.52671411,8.52679815,7.9920704,7.9920704,,
United Arab Emirates,ARE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40504232,1.91322378,1.66402349,1.62154788,1.40600794,1.31882599,1.33256099,1.50538906,1.87160042,2.98415109,2.7841556,2.67422106,2.49252573,2.60541238,2.6003641,2.4694903,,
United Arab Emirates,ARE,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.83046058,77.01039677,61.22885217,61.27508207,57.10731258,56.8410609,57.30421751,58.6737037,63.91038879,73.68283465,70.85415974,72.42097354,72.54479172,71.97173576,70.97638401,71.25105548,,
United Arab Emirates,ARE,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
United Arab Emirates,ARE,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
United Arab Emirates,ARE,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
United Arab Emirates,ARE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.114312,2007.79852,2166.310466,2194.004228,2103.474226,1915.115761,1898.443202,1924.305053,2025.973467,2405.773076,2225.848889,2141.995126,2112.06262,2331.926485,2452.145926,2425.795649,,
United Arab Emirates,ARE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.8166914,771.6834882,850.9515259,879.3939344,890.3036995,915.0837678,985.3294997,1094.849669,1340.038707,1339.437497,1359.02545,1483.969557,1441.551031,1556.310909,1613.37514,1401.974477,,
United Arab Emirates,ARE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49415404,2.48437076,2.7177114,2.64634142,2.46204536,2.32019946,2.32541521,2.56569632,2.92847604,4.04999497,3.92941728,3.69260579,3.43584381,3.62004938,3.66370326,3.46589995,,
United Arab Emirates,ARE,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,UHC service coverage index,SH.UHC.SRVS.CV.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,79519349.71,104727935,120667127.8,149566026,170872972.2,213896531.3,270498501.8,298556251.7,312721329.3,352220103.5,375919368,402070280.6,415962952.9,434486515.9,494688095.9,536638518.1,669027512.9,747752656,823753745.6,1085535276,1174884228,1318714247,1579950967,1650374404,1970319946,2360789653,2312321307,2419605174,2397004765,2461810756,2520353982,2430496937,2518992512,2609938734,2628999319,2212389381,2356160654,2393192648,2511368278,2578080327,2653778080,2770864534,2919264806
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",NV.AGR.EMPL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51101.99034,72067.67038,96154.94122,128075.8948,158951.2971,193905.3122,238446.0051,115350.9998
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226733,119.553124,119.4707027,136.7981529,148.513544,153.4619444,141.3090419,151.7982701,165.1430125,165.5411923,168.0502337,175.2213076,176.747648,172.8105269
United Arab Emirates,ARE,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.453870726,5.935035953,9.54622894,10.51290789,15.61774479,17.78495886,7.970042135,9.222233377,5.844691366,14.16695795,27.76534938,35.50161229,35.72190386,30.17984885,26.5196529,25.2583798,27.95715609
United Arab Emirates,ARE,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99076796100,76828670000,1.14691E+11,1.25208E+11,1.24377E+11,1.0498E+11,-39110245900,-1.16091E+11,-184570600,1.50771E+11,2.35253E+11,3.45711E+11,3.50397E+11,2.82898E+11,4.07343E+11,4.28344E+11,4.44143E+11
United Arab Emirates,ARE,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32075000000,23936000000,43594000000,57073000000,1.03595E+11,1.45076E+11,75492000000,1.06847E+11,54423000000,1.50771E+11,3.57568E+11,4.8839E+11,5.11777E+11,4.46819E+11,3.488E+11,3.312E+11,3.928E+11
United Arab Emirates,ARE,External balance on goods and services (current US$),NE.RSB.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733832539,6517631042,11870388019,15540639891,28208304969,39503335602,20556024506,29093805310,14819060585,41054050374,97363648741,1.32986E+11,1.39354E+11,1.21666E+11,94976174268,90183798502,1.06957E+11
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96768961,50.84287191,64.41405537,69.64565532,73.8086265,63.57104198,62.01646036,64.8207001,64.90964423,68.93519241,74.35082733,75.74463412,72.42668542
United Arab Emirates,ARE,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59191E+11,2.92726E+11,3.3953E+11,4.40499E+11,5.06286E+11,5.98406E+11,8.04619E+11,9.76793E+11,8.23883E+11,6.76551E+11,7.80628E+11,8.47482E+11,9.15503E+11,1.00582E+12,9.48264E+11,9.73422E+11,9.64067E+11
United Arab Emirates,ARE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93833318,15.98871913,29.73793886,14.93464501,18.19529211,34.46050775,21.39811034,-15.65429523,-17.88259979,15.38346703,8.564130418,8.026247165,9.864741022,-5.721827573,2.653058642,-0.96104259
United Arab Emirates,ARE,Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70576260259,79707651954,92451884547,1.19945E+11,1.37859E+11,1.62942E+11,2.19093E+11,2.65975E+11,2.24338E+11,1.84221E+11,2.1256E+11,2.30764E+11,2.49286E+11,2.73877E+11,2.58207E+11,2.65057E+11,2.6251E+11
United Arab Emirates,ARE,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54441E+11,1.75711E+11,2.11786E+11,2.88027E+11,3.4471E+11,4.14737E+11,6.10128E+11,8.06901E+11,6.87271E+11,6.76551E+11,7.98661E+11,8.91728E+11,9.29941E+11,1.0206E+12,9.779E+11,9.932E+11,1.0176E+12
United Arab Emirates,ARE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,1.84221E+11,2.17471E+11,2.42812E+11,2.53217E+11,2.77903E+11,2.66276E+11,2.70442E+11,2.77086E+11
United Arab Emirates,ARE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50245116,22.54574758,22.12971519,19.97844847,20.16685863,19.27051217,25.09361833,25.09812597,31.63348051,27.08185341,23.19025703,21.91215424,19.28566941,22.19792897,25.67137375,26.02947726,24.81162016
United Arab Emirates,ARE,Gross capital formation (constant LCU),NE.GDI.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32643E+11,1.40021E+11,1.49687E+11,1.54012E+11,1.82079E+11,2.09134E+11,2.91609E+11,2.9168E+11,3.1775E+11,2.88217E+11,2.83893E+11,2.81011E+11,2.77125E+11,3.41145E+11,3.87673E+11,4.02361E+11,3.9839E+11
United Arab Emirates,ARE,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.562595402,6.903591548,2.889154815,18.2238933,14.85883697,39.43635533,0.02440194,8.93776501,-9.294303516,-1.500258486,-1.015171209,-1.382864016,23.1014885,13.6387753,3.788760115,-0.986924677
United Arab Emirates,ARE,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36117788700,38126875153,40758998884,41936589462,49579068781,56945941784,79403345732,79422721688,86521337917,78479782165,77302382573,76517631042,75459496256,92891763104,1.05561E+11,1.09561E+11,1.08479E+11
United Arab Emirates,ARE,Gross capital formation (current LCU),NE.GDI.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85377000000,90927000000,1.01058E+11,1.0846E+11,1.3377E+11,1.57194E+11,2.37686E+11,2.90782E+11,2.94556E+11,2.88217E+11,2.98649E+11,3.01442E+11,2.763E+11,3.28645E+11,3.37643E+11,3.41311E+11,3.48605E+11
United Arab Emirates,ARE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23247651464,24758883594,27517494894,29533015657,36424778761,42802995235,64720490129,79178216474,80205854323,78479782165,81320353982,82080871341,75234853642,89488087134,91938189244,92936963921,94923076923
United Arab Emirates,ARE,Changes in inventories (constant LCU),NE.GDI.STKB.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7171000000,7326000000,7140000000,7669000000,12774000000,14636000000,14403000000,13638000000,14594000000,25123000000,21151000000,15492000000,26706000000,63467000000,98011000000,87099000000,81229000000
United Arab Emirates,ARE,Changes in inventories (current LCU),NE.GDI.STKB.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5784000000,5946000000,6111000000,7027000000,11858000000,13804000000,14403000000,31562000000,25332000000,25123000000,22224000000,14751000000,14963000000,38338000000,29739000000,20545000000,25597000000
United Arab Emirates,ARE,Changes in inventories (current US$),NE.GDI.STKB.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574948945,1619060585,1663989108,1913410483,3228863172,3758747447,3921851600,8594145677,6897753574,6840844112,6051463581,4016609939,4074336283,10439210347,8097753574,5594281824,6969911504
United Arab Emirates,ARE,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97798699,21.07141086,20.79152634,18.68406753,18.37917373,17.57827106,23.57302652,22.37393035,28.91298143,24.72121055,21.46455136,20.83988765,18.24125584,19.60843514,23.41028442,24.46264932,22.9897787
United Arab Emirates,ARE,Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20165E+11,1.2714E+11,1.3674E+11,1.40307E+11,1.61463E+11,1.85497E+11,2.65799E+11,2.66779E+11,2.90936E+11,2.63094E+11,2.62742E+11,2.65519E+11,2.50419E+11,2.77678E+11,2.89662E+11,3.15262E+11,3.17161E+11
United Arab Emirates,ARE,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.804208253,7.551286019,2.608211139,15.07839546,14.88542867,43.28995159,0.368590543,9.055089986,-9.569675041,-0.133792485,1.056930373,-5.68697532,10.88535614,4.315790232,8.837886916,0.602356136
United Arab Emirates,ARE,Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32720213860,34619363213,37233570347,38204700477,43965356297,50509788046,72375450837,72642219905,79220038285,71638938053,71543090538,72299251191,68187610619,75610074881,78873247107,85843975494,86361061947
United Arab Emirates,ARE,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79593000000,84981000000,94947000000,1.01433E+11,1.21912E+11,1.4339E+11,2.23283E+11,2.5922E+11,2.69224E+11,2.63094E+11,2.76425E+11,2.86691E+11,2.61337E+11,2.90307E+11,3.07904E+11,3.20766E+11,3.23008E+11
United Arab Emirates,ARE,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21672702519,23139823009,25853505786,27619605174,33195915589,39044247788,60798638530,70584070796,73308100749,71638938053,75268890402,78064261402,71160517359,79048876787,83840435671,87342682097,87953165419
United Arab Emirates,ARE,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.53363626,12.14034218,11.8901945,10.6525323,11.36110089,10.70608528,16.79629475,15.03103117,15.96591021,14.78824405,12.84176916,12.47895592,9.888529808,10.48921292,12.32198265,13.0204965,12.1484804
United Arab Emirates,ARE,"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43760000000,48962000000,54298000000,57831000000,75360000000,87332000000,1.59094E+11,1.74147E+11,1.48667E+11,1.57383E+11,1.65379E+11,1.71671E+11,1.4167E+11,1.55295E+11,1.62065E+11,1.70731E+11,1.70687E+11
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.5677906,67.58543439,68.62783077,72.3840975,78.8678887,79.65331786,77.73799993,89.78180974,100.3223124,100.6315481,99.11504126,100.8704802,101.0030139,100.3838415
United Arab Emirates,ARE,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58268E+11,3.69555E+11,4.54221E+11,5.65707E+11,6.30662E+11,7.03386E+11,7.65509E+11,8.60702E+11,8.23698E+11,8.27322E+11,1.01588E+12,1.19319E+12,1.2659E+12,1.28871E+12,1.35561E+12,1.40177E+12,1.40821E+12
United Arab Emirates,ARE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.150408737,22.91019613,24.54438458,11.48225537,11.53124467,8.8320654,12.43522458,-4.29925556,0.43995932,22.79148868,17.45401282,6.093481943,1.802117071,5.190760084,3.405042907,0.459705828
